Description,Notes,Receipt,Date,Amount,income/expense,uses,Account,Category,Double Checked
Jualan serabi & risol (brutto),(Pendapatan: 103€ + uang kembalian 32€),,"August 22, 2021",135,income,,sparkasse,Other,Yes
Sewa stand,,,"August 22, 2021",-7.5,expense,eksternal,sparkasse,Other,Yes
Persembahan,,,"August 28, 2021",422.81,income,,sparkasse,Persembahan,Yes
Ibadah Offline,,,"August 28, 2021",-44.15,expense,internal,sparkasse,Makan,Yes
Modal jualan acara PPI,,,"August 29, 2021",-42.76,expense,eksternal,sparkasse,Other,Yes
Money Exchange,,,"August 29, 2021",-32,expense,internal,sparkasse,Other,Yes
Sumbangan Covid (batal),,,"August 30, 2021",300,income,eksternal,sparkasse,Other,Yes
Support dari Alumni,,,"August 30, 2021",30,income,,sparkasse,Pendeta,Yes
Ibadah Offline,,,"September 4, 2021",-44.15,expense,internal,sparkasse,Makan,Yes
Persembahan,,,"September 4, 2021",227.41,income,,sparkasse,Persembahan,Yes
Uang Pendeta,,,"September 6, 2021",-400,expense,pendeta,sparkasse,Pendeta,Yes
Buku,PIC: Steffen,S__17670210.jpg,"September 8, 2021",-24.95,expense,internal,sparkasse,Other,Yes
Persembahan,,,"September 11, 2021",174,income,,sparkasse,Persembahan,Yes
"Ibadah offline (Konsumsi, kue, minum)",,"S__71630878.jpg, S__71630881.jpg, Kue_aldi.jpg, Ibadah_offline.jpg","September 11, 2021",-51.13,expense,internal,sparkasse,Makan,Yes
Amplop Mita day,PIC: Felix,Amplop.jpg,"September 11, 2021",-3.48,expense,internal,sparkasse,Other,Yes
Giveaway ESV (Ruth),PIC: Felix,ESV_buat_ruth.png,"September 13, 2021",-25.58,expense,internal,sparkasse,Other,Yes
Care package (Perpisahan Kak Magda),"print foto+pigura, Buku parenting (PIC: Gaby, Danny)","Foto.jpg, Magda.jpg, Magda.pdf","September 13, 2021",-29.97,expense,internal,sparkasse,Other,Yes
Persembahan,,,"September 18, 2021",107.5,income,,sparkasse,Persembahan,Yes
Print foto+amplop,PIC: STeffen,,"September 19, 2021",-7.8,expense,internal,sparkasse,Other,Yes
Care package (Arya&Dhita),(PIC: Danny),Dhita.jpg,"September 19, 2021",-29.98,expense,internal,sparkasse,Other,Yes
Buku bahan siapin PA,PIC: Steffen,S__17883175.jpg,"September 19, 2021",-32.79,expense,internal,sparkasse,Other,Yes
Giveaway,"PIC: Kevin
3 ESV, 1 NIV, 1 ESV Reformation, 1 Winning the war in your mind","Winning_the_War.pdf, ESV_Reformation_Study_Bible_Invoice.pdf, ESV_x3.pdf","September 20, 2021",-163.72,expense,internal,sparkasse,Other,Yes
Support dari alumni,,,"September 21, 2021",50,income,,sparkasse,Pendeta,Yes
Konsumsi Int. Abend,,,"September 24, 2021",-45.9,expense,eksternal,sparkasse,Makan,Yes
Giveaway,ESV 2 (PIC: Kevin),"ESV_ike_pdf.pdf, ESV_steffen_pdf.pdf","September 24, 2021",-53.12,expense,internal,sparkasse,Other,Yes
Persembahan,,,"September 25, 2021",276.01,income,,sparkasse,Persembahan,Yes
Support dari alumni,,,"September 28, 2021",30,income,,sparkasse,Pendeta,Yes
Care package (Ryan),"PIC: Pandya, Gaby","https://www.notion.so/df8c86ed8a19402aaacea89142f38822, https://www.notion.so/191bc6970b49407282d3072e616c936f","October 1, 2021",-53.41,expense,internal,sparkasse,Other,Yes
Care package (Ryan),"PIC: Pandya, Gaby","Care_package_ryan.jpg, S__32358407.jpg","October 1, 2021",-53.41,expense,internal,sparkasse,Other,Yes
Uang pendeta,,,"October 1, 2021",-400,expense,pendeta,sparkasse,Pendeta,Yes
Bantuan dana,Billy Aristo,,"October 1, 2021",-400,expense,eksternal,sparkasse,Other,Yes
Persembahan,,,"October 2, 2021",147,income,,sparkasse,Persembahan,Yes
Support dari Alumni,,,"October 4, 2021",50,income,,sparkasse,Pendeta,Yes
Giveaway,ESV (PIC: Kevin),ESV_Study_Bible_Invoice.pdf,"October 6, 2021",-26.5,expense,internal,sparkasse,Other,Yes
Persembahan,,,"October 9, 2021",86.86,income,,sparkasse,Persembahan,Yes
Konsumsi 9.10.2021,,S__2089054.jpg,"October 14, 2021",-38.61,expense,internal,sparkasse,Makan,Yes
Persembahan,,,"October 16, 2021",118.4,income,,sparkasse,Persembahan,Yes
Sumbangan Gereja Labassi,PIC: Pandya,Labasi.pdf,"October 19, 2021",-250,expense,eksternal,sparkasse,Other,Yes
Buku,PIC: Steffen,Buku.jpg,"October 21, 2021",-12.99,expense,internal,sparkasse,Other,Yes
Konsumsi mita day,PIC: Steffen,"Makan_siang_mita_day.jpg, Makan_mita_day.jpg","October 21, 2021",-188.78,expense,others,sparkasse,Makan,Yes
Scrapbook Ryan,PIC: Billy,Scrapbook.jpeg,"October 21, 2021",-17.9,expense,internal,sparkasse,Other,Yes
Persembahan,,,"October 23, 2021",137,income,,sparkasse,Persembahan,Yes
Konsumsi ibadah 23.10.2021,,7A82656A-BDC7-400A-894F-05CA17D1CEEA.png,"October 23, 2021",-76,expense,internal,sparkasse,Makan,Yes
Care Package,PIC: Pandya,care_package_joy.jpg,"October 24, 2021",-15.92,expense,internal,sparkasse,Other,Yes
Support dari Alumni,,,"October 28, 2021",30,income,,sparkasse,Pendeta,Yes
Persembahan,,,"October 30, 2021",130,income,,sparkasse,Persembahan,Yes
Uang Pendeta,,,"November 3, 2021",-400,expense,pendeta,sparkasse,Pendeta,Yes
Bantuan Dana,Billy Aristo,https://www.notion.soundefined,"November 3, 2021",-400,expense,eksternal,sparkasse,Other,Yes
Container bahan makan,PIC: Gaby,bon_container.jpg,"November 4, 2021",-7,expense,others,sparkasse,Other,Yes
Pulpen Roma,PIC: Felix,pulpen.jpeg,"November 4, 2021",-107.5,expense,others,sparkasse,Other,Yes
Persembahan,,,"November 6, 2021",242.45,income,,sparkasse,Persembahan,Yes
Konsumsi Ibadah Offline,"PIC: Pandya, Patrick","S__73097226.jpg, S__73097228.jpg, S__73097229.jpg, S__73097231.jpg, S__73097232.jpg","November 6, 2021",-45.15,expense,internal,sparkasse,Makan,Yes
Persembahan,,,"November 13, 2021",150.98,income,,sparkasse,Persembahan,Yes
Care Package,"Darrel, Ruth, Jericho (PIC: Danny)","Ruth.jpg, Darrel_2.jpg, Darrel.jpg, Jericho.jpg","November 19, 2021",-80.61,expense,internal,sparkasse,Other,Yes
Care Package,"Ricky, Billy Aristo (PIC: Pandya)","Rechnung_buku_2.png, Rechnung_buku.png, Billy_aristo.png","November 19, 2021",-42.91,expense,internal,sparkasse,Other,Yes
Persembahan,,,"November 20, 2021",188.62,income,,sparkasse,Persembahan,Yes
Tortenbehälter,PIC: Gaby,WIN_20211130_16_57_03_Pro.jpg,"November 26, 2021",-9.98,expense,internal,sparkasse,Other,Yes
Persembahan,,,"November 27, 2021",147.46,income,,sparkasse,Persembahan,Yes
"Konsumsi ibadah offline ","PIC: Jordie, Gaby, Toni","WIN_20211130_17_02_21_Pro.jpg, WIN_20211130_17_02_11_Pro.jpg, WIN_20211130_16_57_28_Pro.jpg, WIN_20211130_17_04_29_Pro.jpg","November 27, 2021",-43.45,expense,internal,sparkasse,Makan,Yes
Support dari Alumni,,,"November 29, 2021",30,income,,sparkasse,Pendeta,Yes
Uang pendeta (Des),,,"November 30, 2021",-400,expense,pendeta,sparkasse,Pendeta,Yes
Bantuan dana,Billy Aristo,,"November 30, 2021",-400,expense,eksternal,sparkasse,Other,Yes
Balancer,,,"November 30, 2021",-187.39,expense,others,sparkasse,Other,Yes
Hadiah ultah Pdt. John,,,"December 2, 2021",-39.09,expense,pendeta,sparkasse,Pendeta,Yes
Persembahan,,,"December 4, 2021",252.76,income,,sparkasse,Persembahan,Yes
Persembahan,,,"December 11, 2021",75.5,income,,paypal,Persembahan,Yes
Persembahan,,,"December 11, 2021",20,income,,sparkasse,Persembahan,Yes
Persembahan Natal,,,"December 18, 2021",575,income,,sparkasse,Persembahan,Yes
Persembahan Natal,,,"December 18, 2021",210,income,,paypal,Persembahan,Yes
??,,,"December 20, 2021",135.43,income,,,,Yes
Dekor natal,PIC: Chen,"IMG_9748.jpg, IMG_9750.jpg, IMG_9750%201.jpg, IMG_9748%201.jpg","December 20, 2021",-9.4,expense,internal,sparkasse,Acara Natal,Yes
Konsum Natal,"PIC: Wiryanto, Aldi, Gerry, Billy
Ayam: 36€ (toko turki)","IMG_9754.jpg, IMG_9753.jpg, IMG_9752.jpg, WIN_20211220_10_40_05_Pro.jpg, WIN_20211220_10_43_12_Pro.jpg, Billy.jpg, Patrick.jpg","December 20, 2021",-161.48,expense,internal,paypal,Acara Natal,Yes
Konsum Natal,PIC: Gaby,"Gaby_3.jpg, Gaby_2.jpg, Gaby.jpg","December 21, 2021",-18.91,expense,internal,sparkasse,Acara Natal,Yes
Dekor natal,"PIC: Billy, Grace, Ruth","billy_dekor.pdf, WIN_20211221_16_46_05_Pro.jpg, WIN_20211221_16_50_04_Pro.jpg, WIN_20211221_16_49_51_Pro.jpg, WIN_20211221_16_49_39_Pro.jpg, Ruth_5.jpg, Ruth_4.jpg","December 21, 2021",-33.91,expense,internal,paypal,Acara Natal,Yes
Website Perki,PIC: Felix,,"December 23, 2021",-81.32,expense,eksternal,paypal,Other,Yes
Keripik kelompok 1,"PIC: Aldi, Chen, Gaby","WIN_20211227_13_28_14_Pro.jpg, WIN_20211227_13_29_27_Pro.jpg, WIN_20211227_13_29_42_Pro.jpg","December 27, 2021",-66.16,expense,eksternal,sparkasse,Other,Yes
Support dari Alumni,,,"December 28, 2021",30,income,pendeta,sparkasse,Pendeta,Yes
Support dari Alumni,,,"December 29, 2021",100,income,,sparkasse,Pendeta,Yes
